county,office,district,party,candidate,votes
Lincoln,U.S. Senate,,LIB,,16
Lincoln,U.S. Senate,,R,Norm Coleman,1464
Lincoln,U.S. Senate,,WI,WRITE-IN,0
Lyon,President,,CP,,43
Lyon,President,,DFL,Barack Obama,6110
Lyon,President,,GP,Cynthia McKinney,17
Lyon,President,,IND,Ralph Nader,152
Lyon,President,,LIB,Bob Barr,34
Lyon,President,,R,John McCain,6315
Lyon,President,,SWP,,1
Lyon,President,,WI,WRITE-IN,36
Lyon,U.S. Senate,,CP,,52
Lyon,U.S. Senate,,DFL,Al Franken,4410
Lyon,U.S. Senate,,IND,Dean Barkley,1994
Lyon,U.S. Senate,,LIB,,65
Lyon,U.S. Senate,,R,Norm Coleman,6089
Lyon,U.S. Senate,,WI,WRITE-IN,8
Mahnomen,President,,CP,,4
Mahnomen,President,,DFL,Barack Obama,1436
Mahnomen,President,,GP,Cynthia McKinney,2
Mahnomen,President,,IND,Ralph Nader,42
Mahnomen,President,,LIB,Bob Barr,8
Mahnomen,President,,R,John McCain,843
Mahnomen,President,,SWP,,0
Mahnomen,President,,WI,WRITE-IN,8
Mahnomen,U.S. Senate,,CP,,8
Mahnomen,U.S. Senate,,DFL,Al Franken,1142
Mahnomen,U.S. Senate,,IND,Dean Barkley,299
Mahnomen,U.S. Senate,,LIB,,16
Mahnomen,U.S. Senate,,R,Norm Coleman,858
Mahnomen,U.S. Senate,,WI,WRITE-IN,2
Marshall,President,,CP,,16
Marshall,President,,DFL,Barack Obama,2311
Marshall,President,,GP,Cynthia McKinney,13
Marshall,President,,IND,Ralph Nader,84
Marshall,President,,LIB,Bob Barr,8
Marshall,President,,R,John McCain,2285
Marshall,President,,SWP,,1
Marshall,President,,WI,WRITE-IN,21
Marshall,U.S. Senate,,CP,,13
Marshall,U.S. Senate,,DFL,Al Franken,1752
Marshall,U.S. Senate,,IND,Dean Barkley,598
Marshall,U.S. Senate,,LIB,,24
Marshall,U.S. Senate,,R,Norm Coleman,2322
Marshall,U.S. Senate,,WI,WRITE-IN,4
Martin,President,,CP,,28
Martin,President,,DFL,Barack Obama,4413
Martin,President,,GP,Cynthia McKinney,21
Martin,President,,IND,Ralph Nader,180
Martin,President,,LIB,Bob Barr,22
Martin,President,,R,John McCain,6053
Martin,President,,SWP,,5
Martin,President,,WI,WRITE-IN,32
