county,precinct,office,district,candidate,party,votes
Aitkin,Hill City,State Senate,7,WRITE-IN,WI,0
Aitkin,Hill City,State House,7A,Spencer Igo,R,201
Aitkin,Hill City,State House,7A,Aron Schnaser,DFL,108
Aitkin,Hill City,State House,7A,WRITE-IN,WI,0
Aitkin,Hill City,Constitutional Amendment 1,NA,YES,NP,249
Aitkin,Hill City,Constitutional Amendment 1,NA,NO,NP,53
Aitkin,Hill Lake Twp,State Senate,7,DIST Candidate,DIST,7
Aitkin,Hill Lake Twp,President,NA,Donald Trump,R,180
Aitkin,Hill Lake Twp,President,NA,Kamala Harris,DFL,83
Aitkin,Hill Lake Twp,President,NA,Chase Oliver,LIB,0
Aitkin,Hill Lake Twp,President,NA,Cornel West,WTP,1
Aitkin,Hill Lake Twp,President,NA,Jill Stein,G,0
Aitkin,Hill Lake Twp,President,NA,Claudia De la Cruz,SLP,0
Aitkin,Hill Lake Twp,President,NA,Rachele Fruit,SWP,0
Aitkin,Hill Lake Twp,President,NA,Robert F. Kennedy Jr.,JFA,0
Aitkin,Hill Lake Twp,President,NA,Other Independent,IND,0
Aitkin,Hill Lake Twp,President,NA,WRITE-IN,WI,0
Aitkin,Hill Lake Twp,U.S. Senate,NA,Royce White,R,162
Aitkin,Hill Lake Twp,U.S. Senate,NA,Amy Klobuchar,DFL,97
